id,week,day_start,day_end,scheduled_date,section,category,deliverable_type,priority,effort_minutes,title,description,target_url,target_keyword,secondary_keywords,page_title,meta_description,content_brief,status,completed_at,completed_by,notes,blog_slug,sort_order,verified_at,verified_status,verified_snapshot,created_at,updated_at
83eb3018-2dfb-4bb8-991e-5d2262138c74,2,13,14,2026-06-01,AEO,content,blog,high,60,Draft blog: Maintenance insulin dosing,"Practitioner walkthrough of total daily dose, basal/bolus split and ISF.",https://www.precisedm.com/blog/maintenance-insulin-dosing-clinician-guide,maintenance insulin dosing,"{""total daily dose insulin"",""basal bolus split""}",,,,todo,,,seed:precisedm-v1,,24,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
8d76c422-792b-45d7-bdf7-6ca36bd8f0c9,3,15,16,2026-06-03,SEO,off-page,outreach,high,90,Outreach: 5 clinician newsletters,Pitch PreciseDM tools to 5 endocrine/diabetes newsletters with tool demo links.,,clinician newsletter outreach,{},,,,todo,,,seed:precisedm-v1,,30,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
565f6f5d-2d7c-4bf1-9303-083a7bf6629d,3,17,17,2026-06-05,AEO,content,blog,medium,60,Draft blog: DKA early recognition,Concise primer on DKA recognition for hospitalist/clinician readers.,https://www.precisedm.com/blog/dka-early-recognition-clinician-primer,dka early recognition,"{""diabetic ketoacidosis clinician"",""dka management""}",,,,todo,,,seed:precisedm-v1,,31,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
f0a3a302-9f47-489f-b193-cf60094a5937,3,18,18,2026-06-06,SEO,technical,schema,medium,30,BlogPosting schema on all blog posts,Ensure every published blog emits BlogPosting JSON-LD with author + datePublished.,https://www.precisedm.com/blog,blogposting schema,{},,,,todo,,,seed:precisedm-v1,,32,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
db3023a5-b5ff-41e8-9199-706191e71cef,3,19,19,2026-06-07,GEO,content,geo-page,medium,45,Region pages: India clinician focus,Add geo-targeted intro copy referencing Indian clinician workflows on /features.,https://www.precisedm.com/features,clinical decision support india,{},,,,todo,,,seed:precisedm-v1,,33,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
2529033a-a8f5-4660-9c9c-11ac9e76aece,3,20,21,2026-06-08,AEO,content,blog,medium,60,Draft blog: Insulin adjustments in CKD,How clinicians should think about insulin sensitivity in renal impairment.,https://www.precisedm.com/blog/insulin-adjustments-chronic-kidney-disease,insulin dosing chronic kidney disease,"{""ckd insulin"",""egfr insulin adjustment""}",,,,todo,,,seed:precisedm-v1,,34,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
d4066039-932f-48be-a5df-5d677631886b,4,22,22,2026-06-10,SEO,on-page,cta,medium,30,CTA optimization across landing,A/B-style review of primary CTAs to /signup and tool pages.,https://www.precisedm.com/,,{},,,,todo,,,seed:precisedm-v1,,40,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
e2ccafb2-7e97-47dc-9f1b-057d650fd161,4,23,23,2026-06-11,AEO,content,blog,medium,60,Draft blog: Hospital steroid protocols,Practical workflow for ward teams managing steroid hyperglycemia.,https://www.precisedm.com/blog/hospital-steroid-hyperglycemia-protocol,hospital steroid hyperglycemia protocol,{},,,,todo,,,seed:precisedm-v1,,41,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
38d3f0c0-d79c-4526-a634-7ef31b3017c8,4,24,24,2026-06-12,SEO,technical,audit,medium,30,Broken link + redirect audit,Scan site for 404s and bad redirects; fix in routes/sitemap.,,,{},,,,todo,,,seed:precisedm-v1,,42,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
f746ff5e-85af-41f9-9347-fa40934f2d31,4,25,25,2026-06-13,GEO,listings,review,medium,30,Solicit clinician testimonials,Reach out to 5 active clinician users for short text testimonials.,,precisedm clinician reviews,{},,,,todo,,,seed:precisedm-v1,,43,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
238b5500-63a5-4472-ae96-5a529ddc3629,4,26,27,2026-06-14,AEO,content,blog,medium,60,Draft blog: Insulin in elderly patients,Dose-cautious framework for geriatric inpatient insulin.,https://www.precisedm.com/blog/insulin-dosing-elderly-patients,insulin dosing elderly,"{""geriatric insulin"",""frail elderly diabetes""}",,,,todo,,,seed:precisedm-v1,,44,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
8872fa30-13c3-4a44-86ff-f4e2edb1529c,4,28,28,2026-06-16,SEO,off-page,backlink,medium,45,Backlink check via GSC,Review new referring domains and disavow spammy ones if any.,,precisedm backlinks,{},,,,todo,,,seed:precisedm-v1,,45,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
32891f86-8534-430a-9d29-0869c731dcd4,4,29,29,2026-06-17,AEO,content,blog,medium,60,Draft blog: Continuous glucose monitoring,Clinician-facing primer on CGM interpretation for inpatient teams.,https://www.precisedm.com/blog/cgm-clinician-primer,cgm clinician primer,"{""continuous glucose monitoring"",""time in range""}",,,,todo,,,seed:precisedm-v1,,46,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
08fad7d9-435d-4bd5-b1bf-506af4207196,4,30,30,2026-06-18,SEO,reporting,report,high,45,Month-1 SEO/AEO/GEO report,"Pull GSC + GA4 metrics, summarise wins and next actions.",,,{},,,,todo,,,seed:precisedm-v1,,47,,,,2026-05-20 16:26:41.328757+00,2026-05-20 16:26:41.328757+00
7f85bd22-91bf-4c8b-a25a-72bf001b8f3d,1,1,1,2026-05-20,SEO,technical,audit,high,45,Submit sitemap to Google & Bing,Confirm sitemap.xml is reachable and submit to both Search Console and Bing Webmaster.,https://www.precisedm.com/sitemap.xml,sitemap submission,"{indexing,""search console""}",,,"Verify sitemap reachable, submit and request indexing of all priority URLs.",blocked,,,"External audit task: run the audit (e.g. submit sitemap, Lighthouse scan, broken-link sweep) and then mark this done manually.",,10,,,,2026-05-20 16:26:41.328757+00,2026-05-27 07:46:55.800258+00
